transaction_id,date,narration,amount,type,true_category
TXN000000,2025-10-01,NEFT-DOMINOS-211755002657,-268.81,Debit,Food & Dining
TXN000001,2025-10-01,NEFT-IRCTC-580863193008,-268.81,Debit,Transport
TXN000002,2025-10-01,BIGBASKET-bigbasket@ybl-UPI-759358685702,-856.95,Debit,Groceries
TXN000003,2025-10-02,IMPS-BYJUS-263322966171,-536.01,Debit,Education
TXN000004,2025-10-02,IMPS-LOCAL KIRANA STORE-237088409572,-205.85,Debit,Groceries
TXN000005,2025-10-03,UPI/RAPIDO/175745391478/rapido@ybl,-152.42,Debit,Transport
TXN000006,2025-10-05,UPI/CHAIPOINT/542596187732/chaipoint@ybl,-805.73,Debit,Food & Dining
TXN000007,2025-10-06,UPI-MEDPLUS-medplus@paytm-975168513199-Payment from Phone,-270.53,Debit,Healthcare
TXN000008,2025-10-06,UPI/AJIO/098830890407/ajio@paytm,-201.02,Debit,Shopping
TXN000009,2025-10-07,IMPS-INDIAN OIL PETROL PUMP-156997673638,-598.42,Debit,Transport
TXN000010,2025-10-07,IMPS-ZOMATO-005507000352,-554.61,Debit,Food & Dining
TXN000011,2025-10-08,NEFT-RAPIDO-811511480880,-373.73,Debit,Transport
TXN000012,2025-10-08,UPI-MCDONALDS-mcd@okicici-524406348066-Payment from Phone,-116.33,Debit,Food & Dining
TXN000013,2025-10-12,IMPS-CHAIPOINT-489103972677,-575.09,Debit,Food & Dining
TXN000014,2025-10-13,UPI/BIGBASKET/557055819015/bigbasket@ybl,-126.51,Debit,Groceries
TXN000015,2025-10-13,INDIAN OIL PETROL PUMP-iocl@ybl-UPI-256455927236,-352.34,Debit,Transport
TXN000016,2025-10-14,NEFT-APOLLOPHARMACY-065055130224,-629.02,Debit,Healthcare
TXN000017,2025-10-14,MUNICIPAL WATER BOARD-waterboard@ybl-UPI-985659182871,-592.62,Debit,Bills & Utilities
TXN000018,2025-10-15,UPI/AIRTEL POSTPAID/685290680319/airtel@paytm,-403.75,Debit,Bills & Utilities
TXN000019,2025-10-17,UPI-UBER-uber@paytm-196103540399-Payment from Phone,-608.59,Debit,Transport
TXN000020,2025-10-18,UPI/BLINKIT/635897921714/blinkit@okhdfcbank,-607.65,Debit,Groceries
TXN000021,2025-10-18,JIO RECHARGE-jio@icici-UPI-746721730419,-545.46,Debit,Bills & Utilities
TXN000022,2025-10-18,BLINKIT-blinkit@okhdfcbank-UPI-263207356830,-1984.04,Debit,Groceries
TXN000023,2025-10-22,UPI/RAPIDO/491810458697/rapido@ybl,-152.92,Debit,Transport
TXN000024,2025-10-23,UPI/MYNTRA/483276346579/myntra@ybl,-528.13,Debit,Shopping
TXN000025,2025-10-23,UPI/DOMINOS/661956365163/dominos@okhdfcbank,-171.43,Debit,Food & Dining
TXN000026,2025-10-25,NEFT-MUNICIPALWATERBOARD-387621024804,-343.13,Debit,Bills & Utilities
TXN000027,2025-10-25,UPI/CHAIPOINT/426077141950/chaipoint@ybl,-606.08,Debit,Food & Dining
TXN000028,2025-10-25,UPI/APOLLO PHARMACY/486959867585/apollo@ybl,-184.64,Debit,Healthcare
TXN000029,2025-10-25,UPI-TATA SKY-tatasky@ybl-478274247238-Payment from Phone,-250.12,Debit,Bills & Utilities
TXN000030,2025-10-25,NEFT-ZOMATO-312434083790,-394.21,Debit,Food & Dining
TXN000031,2025-10-26,IMPS-DOMINOS-238857784243,-384.84,Debit,Food & Dining
TXN000032,2025-10-26,IMPS-TATA SKY-995956048123,-438.04,Debit,Bills & Utilities
TXN000033,2025-10-27,UPI-PVR CINEMAS-pvr@paytm-294847092090-Payment from Phone,-283.04,Debit,Entertainment
TXN000034,2025-10-27,UPI/PRACTO/862419423697/practo@icici,-58.54,Debit,Healthcare
TXN000035,2025-10-29,UPI/SPOTIFY/560604443841/spotify@okaxis,-277.48,Debit,Entertainment
TXN000036,2025-10-29,NEFT-DOMINOS-593915826368,-313.88,Debit,Food & Dining
TXN000037,2025-10-30,UPI/AJIO/343432258551/ajio@paytm,-173.49,Debit,Shopping
TXN000038,2025-10-30,NEFT-GROWWMUTUALFUND-697485329247,-395.67,Debit,Investment
TXN000039,2025-10-31,NEFT-OLA-664702635454,-537.91,Debit,Transport
TXN000040,2025-10-31,NEFT-ZEPTO-221115712479,-143.67,Debit,Groceries
TXN000041,2025-11-01,NEFT-SPOTIFY-210529561848,-206.71,Debit,Entertainment
TXN000042,2025-11-01,ZEPTO-zepto@ybl-UPI-410948406015,-497.53,Debit,Groceries
TXN000043,2025-11-02,UPI/FAMILY TRANSFER/725448936679/father@ybl,21063.18,Credit,Income
TXN000044,2025-11-02,UPI/MYNTRA/611004522774/myntra@ybl,-116.11,Debit,Shopping
TXN000045,2025-11-02,PRACTO-practo@icici-UPI-456980137521,-244.5,Debit,Healthcare
TXN000046,2025-11-02,JIO RECHARGE-jio@icici-UPI-540043209859,-468.68,Debit,Bills & Utilities
TXN000047,2025-11-03,IMPS-MCDONALDS-691564033683,-384.53,Debit,Food & Dining
TXN000048,2025-11-03,UPI/ZEPTO/854339459654/zepto@ybl,-540.82,Debit,Groceries
TXN000049,2025-11-04,UPI-BYJUS-byjus@paytm-077836894055-Payment from Phone,-145.72,Debit,Education
TXN000050,2025-11-04,UPI/BOOK STORE/941535543165/bookstore@ybl,-444.13,Debit,Education
TXN000051,2025-11-04,OLA-ola@okicici-UPI-395882749582,-995.97,Debit,Transport
TXN000052,2025-11-04,UPI/CHAIPOINT/099418475289/chaipoint@ybl,-182.74,Debit,Food & Dining
TXN000053,2025-11-04,NEFT-AJIO-672594619621,-393.39,Debit,Shopping
TXN000054,2025-11-05,NEFT-AJIO-018907263036,-542.59,Debit,Shopping
TXN000055,2025-11-05,UPI-RAPIDO-rapido@ybl-684562622097-Payment from Phone,-100.99,Debit,Transport
TXN000056,2025-11-05,NEFT-RAPIDO-907231557108,-174.02,Debit,Transport
